sentences,article,N_sentence,is_propaganda,affin_score
"Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.
",111111113,15,non-propaganda,-2.0
"They said Garcia Zarate then threw the weapon into the bay and fled the scene.
",111111113,16,non-propaganda,0.0
"Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.
",111111113,18,non-propaganda,-8.0
"At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.
",111111113,19,non-propaganda,-9.0
"He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.
",111111113,21,non-propaganda,-8.0
"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.
",111111113,23,non-propaganda,-4.0
"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.
",111111113,24,propaganda,0.0
"As a result of the case, both the DOJ and the city of San Francisco have changed several policies.
",111111113,26,non-propaganda,0.0
"The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.
",111111113,27,non-propaganda,-1.0
"San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.
",111111113,28,non-propaganda,-9.0
"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.
",111111113,30,propaganda,-3.0
"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""
",111111113,31,propaganda,-4.0
"But ICE has faced criticism of its own over not seeking a judicial warrant to legally obtain custody of Garcia Zarate when it discovered he had been transferred into San Francisco's custody.
",111111113,33,non-propaganda,-1.0
"The agency has argued that obtaining judicial warrants are unnecessary and would place too much burden on ICE officials and federal courts.
",111111113,34,non-propaganda,-2.0
"Though the agency did issue a request to the city to detain Garcia Zarate until ICE officials could pick him up, their detainer requests are not signed by a judge and are therefore not legally binding.
",111111113,36,non-propaganda,-1.0
"San Francisco's policy is to ignore such requests if they are not accompanied by judge-signed warrants, and the city has cited federal court cases concluding that such detentions violate inmates' Fourth Amendment rights.
",111111113,37,non-propaganda,-3.0
"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.
",111111113,39,propaganda,-4.0
"President Donald Trump immediately seized on the verdict on Thursday as evidence of the perils of ""Illegal Immigration.""
",111111113,40,non-propaganda,-4.0
"Trump frequently villainized Garcia Zarate and cited Steinle's death during his presidential campaign, using the case to bolster his argument for a border wall and aid his crusade against ""sanctuary cities.""
",111111113,41,non-propaganda,-2.0
"Early on Friday, Trump also falsely claimed on Twitter that Garcia Zarate had previously committed violent crimes and had illegally entered the US six times due to lax border security under the Obama administration.
",111111113,43,non-propaganda,-10.0
"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.
",111111113,45,propaganda,-4.0
"His exoneration is a complete travesty of justice.
",111111113,46,propaganda,0.0
"BUILD THE WALL!""
",111111113,47,propaganda,0.0
"Trump tweeted.
",111111113,48,non-propaganda,0.0
"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.
",111111113,50,non-propaganda,-14.0
"Lax border security, too, does not appear to be a factor since Garcia Zarate was caught by border patrol agents each time he entered the country under the Obama administration.
",111111113,51,non-propaganda,0.0
"In contrast, Steinle's family has expressed nuanced views on immigration and ""sanctuary"" policies.
",111111113,53,non-propaganda,0.0
"They have both condemned Trump for ""sensationalizing"" Steinle's death to advance anti-immigration policies, and expressed frustration with San Francisco officials, who they believe went too far in refusing to cooperate with federal immigration authorities.
",111111113,54,non-propaganda,-9.0
"Kavanaugh Nomination Is Exploding in Trump’s Face
",111111122,1,propaganda,0.0
"The president is doubling down on an increasingly risky candidate.
",111111122,3,non-propaganda,-2.0
"Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring.
",111111122,4,propaganda,4.0
"Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court.
",111111122,5,propaganda,-3.0
"It’s a good example of how badly Trump does his job more than a year and a half into his administration. 
",111111122,6,propaganda,0.0
"To begin with, Trump has outsourced his judicial nominations to outside, party-aligned groups, the Heritage Foundation and the Federalist Society.
",111111122,8,non-propaganda,0.0
"That included an unusually central role for the Federalist Society’s Leonard Leo.
",111111122,9,non-propaganda,0.0
"That wasn’t entirely a Trump mistake.
",111111122,11,non-propaganda,-2.0
"His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate.
",111111122,12,propaganda,-2.0
"The party was worried that Trump might turn out not to be a conservative; to reassure them, he publicly committed to their top goal.
",111111122,13,non-propaganda,1.0
"In some ways, that’s successful coalition-building, and what he’s done in office is just keeping his promises on judges.
",111111122,14,non-propaganda,4.0
"Still, it’s one thing to form an alliance with conservatives; it’s another to turn the whole process over to them.
",111111122,16,non-propaganda,0.0
"We don’t know to what extent Kavanaugh was Trump’s choice and to what extent he was manipulated into choosing him.
",111111122,17,non-propaganda,-1.0
"We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part.
",111111122,18,propaganda,2.0
"1
",111111122,19,non-propaganda,0.0
"Either way, Kavanaugh was a poor choice from the point of view of good presidenting.
",111111122,21,non-propaganda,1.0
"The judge was certain to be a highly controversial selection from the start.
",111111122,22,non-propaganda,-1.0
"After all, he had been a highly controversial selection for his current circuit court seat, eventually getting confirmed with only four Democratic votes after a long delay.
",111111122,23,non-propaganda,-3.0
"Kavanaugh is a longtime Republican operative, a hard-liner during both the Vince Foster and Monica Lewinsky investigations.
",111111122,24,non-propaganda,-1.0
"Nominating him, rather than a conservative with similar views but a different background, was bound to stir up trouble.
",111111122,25,non-propaganda,-2.0
"It was also true, as Senate Majority Leader Mitch McConnell reportedly warned, that normal disclosure of Kavanaugh’s record, especially his service during the George W. Bush administration, was going to delay confirmation even more.
",111111122,26,non-propaganda,-1.0
"Senate Republicans dealt with that problem by deciding to not bother with any Kavanaugh documents that couldn’t be produced rapidly, which further riled up the Democrats and gave that party some good talking points.
",111111122,27,non-propaganda,-1.0
"2
",111111122,28,non-propaganda,0.0
"Sometimes it’s worth taking risks.
",111111122,31,non-propaganda,0.0
"Presidents who shy away from anything that’s not a sure thing can fail to exploit opportunities.
",111111122,32,non-propaganda,-3.0
"It’s just very hard to see any upside for Trump in choosing Kavanaugh instead of a safer, but still very conservative, other option.
",111111122,33,non-propaganda,1.0
"3
",111111122,34,non-propaganda,0.0
"When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick with him instead of moving on to another candidate.
",111111122,36,non-propaganda,-4.0
"It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble.
",111111122,37,propaganda,-5.0
"Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts.
",111111122,38,non-propaganda,-7.0
"But there’s an art to minimizing damage.
",111111122,39,non-propaganda,-3.0
"And Trump hasn’t learned it yet.
",111111122,40,propaganda,0.0
"For one thing, the president has made this an extremely high-profile episode by stringing out the process as the accusations against Kavanaugh gained credibility and even multiplied.
",111111122,42,propaganda,0.0
"Whether that matters in terms of public opinion for Trump is unclear, but it certainly isn’t good for any Republican senators caught up in the middle, along with any other candidates who have had to weigh in only to find the facts as they knew them constantly changing. 
",111111122,43,non-propaganda,3.0
"It’s also the case that the more negative information comes out, the more it appears that the Trump and his White House staff failed to do their jobs in vetting and managing Kavanaugh.
",111111122,45,propaganda,-4.0
"If the nomination had been pulled right after Christine Blasey Ford made her initial assertions about Kavanaugh, the public might have concluded that it wasn’t Trump’s fault that a previously unaired accusation came to light.
",111111122,46,non-propaganda,-2.0
"Meanwhile, Trump’s behavior has been as erratic as ever.
",111111122,48,non-propaganda,0.0
"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward.
",111111122,49,propaganda,-3.0
"He sometimes praises Kavanaugh, but also let it be known that he thought the nominee had performed badly in his Fox News interview.
",111111122,50,non-propaganda,0.0
"The White House demanded a final up and down vote on Tuesday; by Wednesday, he was saying that the nomination would die if Kavanaugh didn’t do well before the Judiciary Committee on Thursday.
",111111122,51,non-propaganda,-4.0
"The sum of all this has been, as in many other episodes, that Trump and his White House are a gang that can’t shoot straight and that he’s eager to blame his allies and lash out at his enemies in ugly ways when things go wrong.
",111111122,52,propaganda,-7.0
"A botched nomination matters because allies will be less likely to trust Trump, not just on Supreme Court choices, but on any initiative.
",111111122,54,non-propaganda,6.0
"And, for that matter, they’ll be less likely to trust him when he asserts that there’s nothing remaining for Special Counsel Robert Mueller to reveal.
",111111122,55,non-propaganda,2.0
"Trump’s professional reputation is already terrible, but everything counts.
",111111122,56,non-propaganda,-3.0
"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president.
",111111122,57,propaganda,0.0
"Trump is hurting himself right now, and will have hurt himself more if Kavanaugh is not confirmed.
",111111122,58,non-propaganda,-4.0
"And yes, I call it the cut-of-his-jib test quite deliberately.
",111111122,60,propaganda,0.0
"It's no surprise that someone who hires based on what he thinks someone doing that job should look like, which seems to be based on hazy old-time Hollywood casting, would wind up with fewer women in his administration than any of his recent predecessors.
",111111122,61,propaganda,1.0
"I've argued that too much disclosure is required, and that Democrats (and any wavering Republicans) had more than enough information to make up their mind.
",111111122,63,non-propaganda,-1.0
"I still think that's true.
",111111122,64,non-propaganda,2.0
"But it did leave Republicans vulnerable to claims about transparency which were likely to be popular -- most people, and the entire press corps, love transparency -- and vulnerable to bombshells in the documentary record which hadn't been initially disclosed.
",111111122,65,propaganda,1.0
"In the event, that's not what's causing the trouble, but still it's an example of Trump taking needless risks.
",111111122,66,non-propaganda,-4.0
"Some have speculated that Kavanaugh would be especially likely to rule in Trump's favor if any cases stemming from the Robert Mueller investigation wind up at the high court.
",111111122,68,non-propaganda,2.0
"Perhaps.
",111111122,69,non-propaganda,0.0
"There are plenty of other partisan, conservative judges, and plenty of conservative judges who lean towards an expansive view of presidential powers.
",111111122,70,propaganda,0.0
"And if Kavanaugh is really an outlier on that issue, then he won't be in the majority on any future decision anyway.
",111111122,71,non-propaganda,3.0
"So, no, I don't think there's any good reason to think Kavanaugh would be especially helpful to Trump compared to others he could have selected.
",111111122,72,non-propaganda,4.0
"Agencies scramble to prep Russia probe files for release after sweeping Trump order
",111111124,1,propaganda,0.0
"Intelligence agencies were scrambling Tuesday to comply with a sweeping order by President Trump to declassify key documents that could shed light on the origins of the Russia collusion probe that has hamstrung the administration for more than 18 months.
",111111124,3,propaganda,0.0
"The documents Trump ordered declassified involve a renewed Foreign Intelligence Surveillance Act warrant against former campaign aide Carter Page and text messages from disgraced former FBI officials Peter Strzok and Lisa Page.
",111111124,5,propaganda,-2.0
"The president on Monday afternoon ordered that the documents be released by the Office of the Director of National Intelligence (ODNI) and the Justice Department “[a]t the request of a number of committees of Congress, and for reasons of transparency,” according to a statement issued by White House Press Secretary Sarah Sanders.
",111111124,8,non-propaganda,2.0
"It is not immediately clear how and when the documents will be released, but by Monday evening, intelligence agencies said they had already begun working to prepare the documents.
",111111124,10,non-propaganda,1.0
"“When the President issues such an order, it triggers a declassification review process that is conducted by various agencies within the intelligence community, in conjunction with the White House Counsel, to seek to ensure the safety of America’s national security interests,” a Justice Department spokesperson said in a statement to Fox News.
",111111124,12,non-propaganda,5.0
"“The Department and the Federal Bureau of Investigation are already working with the Director of National Intelligence to comply with the President’s order.”
",111111124,13,non-propaganda,0.0
"ODNI spokeswoman Kellie Wade also said that the agency was “working expeditiously with our interagency partners to conduct a declassification review of the documents the President has identified for declassification.”
",111111124,15,non-propaganda,0.0
"The documents include all FBI reports on interviews, also known as 302s, with Justice Department official Bruce Ohr and all FBI reports of interviews prepared in connection with applications to surveil Carter Page, as well as 21 pages of one renewed warrant.
",111111124,17,non-propaganda,3.0
"The 21 pages make up only a small portion of the 412 pages of FISA applications and warrants related to Page released by the FBI earlier this year in a heavily redacted format.
",111111124,18,non-propaganda,0.0
"The June 2017 application was the last of four filed by the Justice Department in support of FISA court orders allowing the monitoring of Page for nearly a year.
",111111124,19,non-propaganda,4.0
"The president also ordered the release of unredacted text messages from fired FBI Special Agent Peter Strzok, former FBI counsel Lisa Page, former FBI Director James Comey and former FBI Deputy Director Andrew McCabe.
",111111124,21,propaganda,-2.0
"The president for months has blasted Strzok and Page for the bias revealed in their text messages, as well as Comey and McCabe for their leadership of the FBI.
",111111124,23,propaganda,0.0
"Comey was fired from the bureau in May 2017; McCabe was fired by Attorney General Jeff Sessions in March; Page left the bureau in May; and Strzok was fired last month.
",111111124,24,non-propaganda,-6.0
"A source familiar with the timing of the declassification told Fox News they expected the Carter Page warrant application to be declassified first, followed by the FBI reports on agent interviews with Ohr.
",111111124,25,non-propaganda,0.0
"The source added that the Justice Department is working on a ""compressed timeline"" and they expect the first release of records in days or sooner.
",111111124,27,non-propaganda,2.0
"The text messages are expected to take longer because of the sheer number involved and the fact that Trump ordered their release without redactions.
",111111124,28,propaganda,0.0
"Republicans on Capitol Hill, including House Intelligence Committee Chairman Devin Nunes, R-Calif., are touting the president’s order, saying it covers “pretty much everything that he wanted…and the text messages are a bonus,” a source said of Nunes.
",111111124,30,propaganda,-1.0
"Congressional Republicans are hoping the files reveal details about the start of the Russia investigation led by the FBI, which evolved into Special Counsel Robert Mueller's investigation into Russian meddling and potential collusion with Trump campaign associates during the 2016 presidential election.
",111111124,32,non-propaganda,2.0
"But Democrats,including the committee’s ranking member, Rep. Adam Schiff, D-Calif., are blasting the declassification order as a “clear abuse of power.”
",111111124,34,propaganda,-2.0
"""[Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,"" Schiff said.
",111111124,36,propaganda,1.0
"""With respect to some of these materials, I have been previously informed by the FBI and Justice Department that they would consider their release a red line that must not be crossed as they may compromise sources and methods.
",111111124,37,propaganda,4.0
"""This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,"" Schiff added.
",111111124,39,propaganda,2.0
"The president’s order is similar to his February move, when he cleared the way for the Republican-led House Intelligence Committee to release a partisan memo about the surveillance warrant on Carter Page.
",111111124,41,propaganda,1.0
"Democrats, weeks later, released their own version of the memo.
",111111124,42,non-propaganda,0.0
"Trump's North Korean gamble ends with 'special bond' with Kim
",111111131,1,non-propaganda,0.0
"Nearly five hours of unprecedented and surreal talks between US President Donald Trump and North Korea's Kim Jong Un culminated on Tuesday with fulsome declarations of a new friendship but just vague pledges of nuclear disarmament.
",111111131,3,propaganda,0.0
"For Trump, that amounted to a triumphant outcome in his extraordinary gamble with the rogue kingdom's despotic leader.
",111111131,5,propaganda,4.0
"But there were scant details on what new commitments had been secured from Kim, even as Trump announced he would end the regular military exercises the US conducts with South Korea.
",111111131,6,non-propaganda,2.0
"Whether nuclear disarmament is indeed the final outcome of Tuesday's summit won't be known for years, if not decades.
",111111131,7,non-propaganda,3.0
"But the dramatic act of extending his hand to one of America's longtime adversaries will forever illustrate Trump's gut-driven, norm-shattering tenure.
",111111131,8,propaganda,0.0
"""We both want to do something.
",111111131,9,non-propaganda,1.0
"We both are going to do something.
",111111131,10,non-propaganda,0.0
"And we have developed a very special bond,"" Trump said at the conclusion of the landmark summit.
",111111131,11,non-propaganda,2.0
"""People are going to be very impressed.
",111111131,12,propaganda,3.0
"People are going to be very happy.""
",111111131,13,non-propaganda,3.0
"The document he and Kim signed said the North Korean leader ""reaffirmed his firm and unwavering commitment to complete denuclearization of the Korean Peninsula.""
",111111131,14,propaganda,2.0
"In exchange, Trump agreed to ""provide security guarantees"" to North Korea. 
",111111131,15,non-propaganda,1.0
"But there was no mentioning the previous US aim of ""complete, verifiable and irreversible denuclearization.""
",111111131,16,non-propaganda,-2.0
"And Kim's commitments did not appear to go beyond what he already pledged to do in April when he met South Korean President Moon Jae-in along their countries' border.
",111111131,17,non-propaganda,0.0
"Trump insisted during a news conference the agreement went further than many people expected.
",111111131,18,non-propaganda,1.0
"But he acknowledged the effort to rid North Korea of its nuclear arsenal was in its early stages.
",111111131,19,non-propaganda,0.0
"""We will do it as fast as it can mechanically and physically be done,"" he said.
",111111131,20,non-propaganda,0.0
"More critical, in Trump's telling, was the development of a personal bond with Kim, a brutal dictator responsible for the deaths not only of his own citizens but of at least one American, Otto Warmbier, who was returned to the US in a coma only to die days later.
",111111131,21,propaganda,-6.0
"""I think our whole relationship with North Korea and the Korean Peninsula is going to be a very much different situation than it has in the past,"" Trump said during the summit.
",111111131,22,non-propaganda,0.0
"Later, during his news conference, Trump said Warmbier's death contributed to the summit taking place.
",111111131,23,non-propaganda,-2.0
"""Without Otto, this would not have happened,"" Trump said.
",111111131,24,non-propaganda,0.0
"Trump and Kim -- both intent on making history -- greeted each other early in the day with extended hands in front of a row of US and North Korean flags, a previously unthinkable sight that reflects a new chapter in the two countries' acrimonious relationship.
",111111131,25,propaganda,-2.0
"Trump's threats to politely walk out of the meeting if his expectations were unmet did not materialize.
",111111131,26,non-propaganda,-2.0
"Instead he predicted he could ""solve a big problem, a big dilemma"" alongside his new partner.
",111111131,27,propaganda,0.0
"""Working together, we'll get it taken care of,"" Trump said.
",111111131,28,propaganda,2.0
"The remarks came amid an improbable series of events that few could have anticipated even three months ago.
",111111131,29,non-propaganda,0.0
"The unlikely images of US and North Korean counterparts engaging in friendly dialogue lent the day an air of unreality.
",111111131,30,non-propaganda,1.0
"In a detailed menu, the White House said the men were served Häagen-Dazs vanilla ice cream for dessert.
",111111131,31,non-propaganda,0.0
"Other unforeseen events also surrounded the summit, increasing the drama.
",111111131,32,propaganda,0.0
"Minutes before the historic handshake, Trump tweeted that his top economic adviser Larry Kudlow had suffered a heart attack.
",111111131,33,propaganda,-1.0
"Immediately after the encounter, Dennis Rodman -- one of the only Americans to have met Kim -- was openly weeping while being interviewed by CNN's Chris Cuomo.
",111111131,34,non-propaganda,-2.0
"Even Kim seemed to acknowledge the surreality of the day.
",111111131,35,propaganda,0.0
"""Many people in the world will think of this as a (inaudible) form of fantasy ... from a science fiction movie,"" his translator was overheard saying as the two leaders walked down a white-columned colonnade.
",111111131,36,non-propaganda,0.0
"At the conclusion of the summit, Trump hailed the talks as a historic, and personal, achievement.
",111111131,37,propaganda,2.0
"""We learned a lot about each other and our countries,"" Trump said.
",111111131,38,non-propaganda,0.0
"""I learned he's a very talented man.""
",111111131,39,propaganda,0.0
"When pressed about those comments in light of Kim's brutal tactics, Trump continued praising the North Korean leaders' ability to run a country at a young age.
",111111131,40,propaganda,2.0
"""He is very talented,"" Trump said, citing Kim's ability to ""take over a situation like he did at 26 years of age and run it, and run it tough.""
",111111131,41,propaganda,4.0
"Kim assumed power after his father Kim Jong Il, also a brutal dictator, died in 2011.
",111111131,42,propaganda,-6.0
"Throughout the day, Trump and Kim's body language was openly friendly, a striking warmth given Kim's iron grip on power and dismal record on human rights.
",111111131,43,propaganda,2.0
"Trump's move to meet him attracted fierce criticism for normalizing a regime routinely called out for its human rights abuses, that over years has built an image of fearsome renegade regime, throwing around threats of nuclear war.
",111111131,44,propaganda,-10.0
"The day began with Trump patting Kim on the back and placing his hand on the North Korean's shoulder as they walked into their first meeting.
",111111131,45,non-propaganda,0.0
"Later they were seen smiling and laughing over lunch.
",111111131,46,non-propaganda,3.0
"Trump told reporters he would ""absolutely"" extend an invitation to the White House to Kim, who also heralded a new era.
",111111131,47,propaganda,1.0
"""Today, we had a historic meeting and decided to leave the past behind,"" Kim said through a translator.
",111111131,48,propaganda,-1.0
"""The world will see a major change.""
",111111131,49,propaganda,0.0
"The meeting came only months after the two men traded nuclear taunts, ratcheting up tensions and leading to fears of war.
",111111131,50,non-propaganda,0.0
"By contrast, Trump appeared to back off a military footing on Tuesday, declaring the US will stop the ""war games,"" an apparent reference to joint military exercises with South Korea that North Korea has long rebuked as provocative.
",111111131,51,non-propaganda,-3.0
"Trump also said he hopes to eventually withdraw US forces from South Korea, but said ""that's not part of the equation right now.""
",111111131,52,non-propaganda,2.0
"""I want to get our soldiers out.
",111111131,53,propaganda,1.0
"I want to bring our soldiers back home,"" Trump said.
",111111131,54,propaganda,1.0
"""But that's not part of the equation right now.
",111111131,55,non-propaganda,0.0
"I hope it will be eventually.""
",111111131,56,non-propaganda,2.0
"Tuesday's meeting, convened at a luxury hotel on the island of Sentosa, came just three months after Trump accepted North Korea's invitation for talks on the spot.
",111111131,57,non-propaganda,3.0
"It was an extraordinarily compressed timeline for the landmark summit, which at one point was called off entirely as communication broke down between Washington and Pyongyang.
",111111131,58,non-propaganda,1.0
"The talks were quickly revived, leading to the highly choreographed event that unfolded Tuesday.
",111111131,59,non-propaganda,2.0
"After the men shook hands, they repaired inside for one-on-one talks.
",111111131,60,non-propaganda,0.0
"In that first meeting they were joined only by translators, a break from standard practice of having at least one aide present for high-stakes huddles.
",111111131,61,non-propaganda,0.0
"Later in the day, advisers joined the talks for a larger bilateral session and a working lunch.
",111111131,62,non-propaganda,0.0
"Trump took keen interest in the pageantry of the day, insisting the pictures beamed around the world reflect a commanding leader making a decisive, world-altering move.
",111111131,63,propaganda,3.0
"At the same time, he'd admitted he didn't believe he required extensive preparation to take stock of Kim.
",111111131,64,non-propaganda,-1.0
"As part of the advance work, Trump commissioned a highly produced video meant to convince Kim to relinquish his weapons and open his country to outside investment.
",111111131,65,non-propaganda,1.0
"Trump showed Kim the movie on an iPad during their talks.
",111111131,66,non-propaganda,0.0
"Here in futuristic Singapore, however, Kim was able to view the benefits of economic advancement at close range.
",111111131,67,propaganda,2.0
"He was spotted taking a moonlit stroll around the high-end Marina Bay Sands hotel and casino, owned by GOP mega-donor Sheldon Adelson, the type of glitzy development few North Koreans could ever imagine coming to their country.
",111111131,68,non-propaganda,0.0
"Kim was cheered by onlookers who caught sight of the dictator, who until earlier this spring was not believed to have ever left North Korea as supreme leader.
",111111131,69,propaganda,6.0
"A popular public school Bible class in West Virginia faces legal challenge
",111111132,1,non-propaganda,3.0
"Gym is Trenton Tolliver’s favorite class.
",111111132,3,non-propaganda,2.0
"But the 7-year-old is also a huge fan of the weekly Bible course at Princeton Primary, his public elementary school.
",111111132,4,propaganda,4.0
