,Unnamed: 0,sentence_id,sentences,article_id,Unnamed: 4,label,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,sentiment_polarity,sentiment_subjectivity,Unnamed: 0,0,GPE,CARDINAL,ORG,NORP,PERSON,DATE,TIME,LOC,ORDINAL,EVENT,WORK_OF_ART,FAC,LAW,PRODUCT,MONEY,QUANTITY,PERCENT,LANGUAGE
10,10,18,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",111111112,19,non-propaganda,20.4,10.34,8.43,7,14.6,58.29,22.57,22.0,0.0,14th and 15th grade,0.8,0.9,0,,2.0,,1.0,,3.0,,,,,,,,,,,,,
11,11,19,"This is the right decision.
",111111112,20,non-propaganda,3.7,4.96,7.04,1,2.9,83.32,10.0,2.5,0.0,2nd and 3rd grade,0.2857142857142857,0.5357142857142857,0,,1.0,,,,,,,,,,,,,,,,,
12,12,20,"The UK should never become a stage for inflammatory speakers who promote hate.""
",111111112,21,propaganda,9.7,11.3,7.93,3,8.4,58.28,14.43,6.5,0.0,7th and 8th grade,-0.8,0.9,0,,2.0,,,,,,,,,,,,,,,,,
13,13,22,"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",111111112,23,non-propaganda,16.0,10.4,9.34,8,12.6,57.95,22.67,17.0,0.0,9th and 10th grade,0.0,0.0,0,,2.0,,1.0,,4.0,,,,,,,,,,,,,
14,14,24,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",111111112,25,propaganda,11.1,11.13,6.59,2,7.6,65.73,11.31,8.0,0.0,7th and 8th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
15,15,26,"""How many hate preachers are living in this country?
",111111112,27,propaganda,6.6,8.67,5.84,1,3.3,87.72,8.04,3.5,0.0,3rd and 4th grade,-0.15000000000000002,0.7,0,,1.0,,,,,,,,,,,,,,,,,
16,16,27,"It just shows what sort of a two-tier system we have here.""
",111111112,28,non-propaganda,3.8,4.05,5.55,1,3.3,93.14,8.13,5.0,0.0,3rd and 4th grade,0.0,0.0,0,,1.0,1.0,,,,,,,,,,,,,,,,
17,17,29,"'Foster hatred'
",111111112,30,non-propaganda,14.9,7.1,19.53,2,8.8,35.61,40.8,0.0,0.0,-1th and 0th grade,0.0,0.0,0,,1.0,,,,1.0,,,,,,,,,,,,,
18,18,30,"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",111111112,31,non-propaganda,9.8,9.74,9.12,5,7.6,71.14,18.56,10.5,0.0,9th and 10th grade,0.4,0.9,0,,2.0,,,,,,,,,,,,,,,,,
19,19,32,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",111111112,33,propaganda,13.5,14.43,8.84,4,8.8,57.27,17.03,9.0,0.0,8th and 9th grade,0.7,0.7,0,,1.0,,,,1.0,,,,,,,,,,,,,
20,20,34,"""These two are among some of the most extreme anti-Muslim activists in the world.
",111111112,35,non-propaganda,8.8,9.45,8.84,4,5.2,82.65,17.03,7.0,0.0,8th and 9th grade,0.1875,0.75,0,,1.0,1.0,,1.0,,,,,,,,,,,,,,
21,21,35,"They've nothing to contribute to life in this country.
",111111112,36,non-propaganda,7.7,9.94,5.84,1,4.4,79.26,8.04,4.5,0.0,4th and 5th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
22,22,37,"""They're not here to contribute to good community relations.
",111111112,38,non-propaganda,10.8,13.19,9.35,3,10.3,36.96,16.93,6.5,0.0,10th and 11th grade,0.7,0.6000000000000001,0,,1.0,,,,,,,,,,,,,,,,,
23,23,38,"They only wanted to come here and help the EDL stir up more trouble.
",111111112,39,non-propaganda,4.4,4.92,5.46,1,4.0,91.11,8.46,6.0,0.0,4th and 5th grade,0.1,0.5666666666666667,0,,1.0,,1.0,,,,,,,,,,,,,,,
24,24,39,"Britain doesn't need more hate even just for a few days.""
",111111112,40,non-propaganda,4.6,5.26,0.55,0,1.7,102.61,4.4,4.5,0.0,4th and 5th grade,-0.16666666666666666,0.5,0,,2.0,,,,,1.0,,,,,,,,,,,,
25,25,41,"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",111111112,42,non-propaganda,17.0,7.44,8.46,7,14.2,59.3,22.37,20.5,0.0,-1th and 0th grade,0.0,0.0,0,,1.0,,2.0,,3.0,,,,,,,,,,,,,
26,26,43,"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",111111112,44,non-propaganda,21.4,13.12,11.24,13,16.9,35.95,28.86,21.5,0.0,21st and 22nd grade,0.0,0.0,0,,2.0,,,,,1.0,,,,,,,,,,,,
27,27,45,"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",111111112,46,non-propaganda,18.3,9.99,9.88,10,14.6,52.87,25.43,21.5,0.0,9th and 10th grade,0.0,0.5,0,,2.0,,,1.0,,,,,,,,,,,,,,
28,28,0,"US bloggers banned from entering UK
",111111112,1,non-propaganda,5.9,9.15,9.2,2,4.5,73.85,15.73,3.0,0.0,4th and 5th grade,0.0,0.0,0,,3.0,,,,,,,,,,,,,,,,,
29,29,2,"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",111111112,3,non-propaganda,8.9,9.28,7.39,3,7.2,72.16,13.9,9.0,0.0,8th and 9th grade,0.5,1.0,0,,3.0,1.0,1.0,,,,,,,,,,,,,,,
30,30,4,"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",111111112,5,propaganda,16.4,19.53,9.5,4,9.2,50.84,18.13,9.0,0.0,9th and 10th grade,0.0,0.0,0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
31,31,6,"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",111111112,7,non-propaganda,10.1,9.28,7.9,4,7.2,77.57,16.02,8.5,0.0,7th and 8th grade,-0.10833333333333334,0.125,0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
32,32,8,"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",111111112,9,non-propaganda,14.6,13.4,8.44,5,11.5,50.16,17.92,14.5,0.0,14th and 15th grade,0.35,0.33333333333333337,0,,1.0,,,,,,,,,,,,,,,,,
33,33,10,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",111111112,11,propaganda,12.7,8.77,7.4,4,9.5,71.48,16.4,14.5,0.0,9th and 10th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
34,34,12,"'Right decision'
",111111112,13,non-propaganda,17.3,10.0,11.63,1,8.8,35.61,20.8,1.0,0.0,11th and 12th grade,0.2857142857142857,0.5357142857142857,0,,1.0,,,,,,,,,,,,,,,,,
35,35,13,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
",111111112,14,propaganda,20.4,11.04,8.05,6,15.0,51.86,21.07,20.0,0.0,19th and 20th grade,0.3787878787878787,0.2515151515151515,0,,2.0,,1.0,,3.0,,,,,,,,,,,,,
36,36,14,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",111111112,15,propaganda,15.6,7.73,7.19,4,11.4,71.82,18.05,17.5,0.0,7th and 8th grade,0.15,0.7,0,,2.0,,1.0,,,,,,,,,,,,,,,
37,37,16,"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",111111112,17,non-propaganda,17.3,9.24,7.64,5,13.0,62.35,19.48,17.0,0.0,7th and 8th grade,-0.0625,0.22083333333333333,0,,3.0,,1.0,,2.0,2.0,,,,,,,,,,,,
38,38,18,"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",111111112,19,non-propaganda,20.4,10.34,8.43,7,14.6,58.29,22.57,22.0,0.0,14th and 15th grade,0.8,0.9,0,,2.0,,1.0,,3.0,,,,,,,,,,,,,
39,39,19,"This is the right decision.
",111111112,20,non-propaganda,3.7,4.96,7.04,1,2.9,83.32,10.0,2.5,0.0,2nd and 3rd grade,0.2857142857142857,0.5357142857142857,0,,1.0,,,,,,,,,,,,,,,,,
40,40,20,"The UK should never become a stage for inflammatory speakers who promote hate.""
",111111112,21,propaganda,9.7,11.3,7.93,3,8.4,58.28,14.43,6.5,0.0,7th and 8th grade,-0.8,0.9,0,,2.0,,,,,,,,,,,,,,,,,
41,41,22,"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",111111112,23,non-propaganda,16.0,10.4,9.34,8,12.6,57.95,22.67,17.0,0.0,9th and 10th grade,0.0,0.0,0,,2.0,,1.0,,4.0,,,,,,,,,,,,,
42,42,24,"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",111111112,25,propaganda,11.1,11.13,6.59,2,7.6,65.73,11.31,8.0,0.0,7th and 8th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
43,43,26,"""How many hate preachers are living in this country?
",111111112,27,propaganda,6.6,8.67,5.84,1,3.3,87.72,8.04,3.5,0.0,3rd and 4th grade,-0.15000000000000002,0.7,0,,1.0,,,,,,,,,,,,,,,,,
44,44,27,"It just shows what sort of a two-tier system we have here.""
",111111112,28,non-propaganda,3.8,4.05,5.55,1,3.3,93.14,8.13,5.0,0.0,3rd and 4th grade,0.0,0.0,0,,1.0,1.0,,,,,,,,,,,,,,,,
45,45,29,"'Foster hatred'
",111111112,30,non-propaganda,14.9,7.1,19.53,2,8.8,35.61,40.8,0.0,0.0,-1th and 0th grade,0.0,0.0,0,,1.0,,,,1.0,,,,,,,,,,,,,
46,46,30,"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",111111112,31,non-propaganda,9.8,9.74,9.12,5,7.6,71.14,18.56,10.5,0.0,9th and 10th grade,0.4,0.9,0,,2.0,,,,,,,,,,,,,,,,,
47,47,32,"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",111111112,33,propaganda,13.5,14.43,8.84,4,8.8,57.27,17.03,9.0,0.0,8th and 9th grade,0.7,0.7,0,,1.0,,,,1.0,,,,,,,,,,,,,
48,48,34,"""These two are among some of the most extreme anti-Muslim activists in the world.
",111111112,35,non-propaganda,8.8,9.45,8.84,4,5.2,82.65,17.03,7.0,0.0,8th and 9th grade,0.1875,0.75,0,,1.0,1.0,,1.0,,,,,,,,,,,,,,
49,49,35,"They've nothing to contribute to life in this country.
",111111112,36,non-propaganda,7.7,9.94,5.84,1,4.4,79.26,8.04,4.5,0.0,4th and 5th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
50,50,37,"""They're not here to contribute to good community relations.
",111111112,38,non-propaganda,10.8,13.19,9.35,3,10.3,36.96,16.93,6.5,0.0,10th and 11th grade,0.7,0.6000000000000001,0,,1.0,,,,,,,,,,,,,,,,,
51,51,38,"They only wanted to come here and help the EDL stir up more trouble.
",111111112,39,non-propaganda,4.4,4.92,5.46,1,4.0,91.11,8.46,6.0,0.0,4th and 5th grade,0.1,0.5666666666666667,0,,1.0,,1.0,,,,,,,,,,,,,,,
52,52,39,"Britain doesn't need more hate even just for a few days.""
",111111112,40,non-propaganda,4.6,5.26,0.55,0,1.7,102.61,4.4,4.5,0.0,4th and 5th grade,-0.16666666666666666,0.5,0,,2.0,,,,,1.0,,,,,,,,,,,,
53,53,41,"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",111111112,42,non-propaganda,17.0,7.44,8.46,7,14.2,59.3,22.37,20.5,0.0,-1th and 0th grade,0.0,0.0,0,,1.0,,2.0,,3.0,,,,,,,,,,,,,
54,54,43,"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",111111112,44,non-propaganda,21.4,13.12,11.24,13,16.9,35.95,28.86,21.5,0.0,21st and 22nd grade,0.0,0.0,0,,2.0,,,,,1.0,,,,,,,,,,,,
55,55,45,"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",111111112,46,non-propaganda,18.3,9.99,9.88,10,14.6,52.87,25.43,21.5,0.0,9th and 10th grade,0.0,0.5,0,,2.0,,,1.0,,,,,,,,,,,,,,
56,56,0,"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing
",111111113,1,non-propaganda,13.6,10.8,8.77,6,11.5,55.58,19.6,15.0,0.0,11th and 12th grade,-0.2,0.35,0,,1.0,,,1.0,1.0,,,,,,,,,,,,,
57,57,2,"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.
",111111113,3,propaganda,30.1,16.84,11.61,17,23.2,14.3,33.37,33.0,0.0,32nd and 33rd grade,0.0,0.5,0,,2.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
58,58,4,"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
",111111113,5,non-propaganda,18.8,11.62,9.58,9,15.0,46.44,24.11,21.5,0.0,14th and 15th grade,-0.2333333333333333,0.16666666666666666,0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
59,59,5,"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
",111111113,6,non-propaganda,13.2,8.07,8.41,6,11.8,59.98,19.77,17.0,0.0,11th and 12th grade,0.0,0.5,0,,1.0,,,,,1.0,,,,,,,,,,,,
60,60,7,"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
",111111113,8,non-propaganda,9.9,6.96,6.88,3,8.3,74.53,14.25,13.0,0.0,6th and 7th grade,0.0,0.0,0,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,
61,61,8,"The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.
",111111113,9,non-propaganda,17.8,10.46,8.57,7,14.2,53.89,21.84,21.0,0.0,9th and 10th grade,0.05000000000000001,0.26666666666666666,0,,1.0,,,,1.0,1.0,,,,,,,,,,,,
62,62,10,"Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.
",111111113,11,non-propaganda,17.7,11.21,8.18,6,14.6,47.46,20.3,19.0,0.0,14th and 15th grade,0.0,0.0,0,,1.0,,,,1.0,,,,,,,,,,,,,
63,63,11,"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters.
",111111113,12,propaganda,19.1,13.24,10.27,10,15.4,40.01,25.3,20.5,0.0,10th and 11th grade,0.8,0.9,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
64,64,12,"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.
",111111113,13,non-propaganda,21.6,10.0,9.48,10,17.3,45.77,26.32,25.0,0.0,9th and 10th grade,0.0,0.0,0,,1.0,,1.0,,2.0,,,,,,,,,,,,,
65,65,14,"Prosecutors, however, alleged that Garcia Zarate brought the weapon to the pier deliberately to do harm, and intentionally aimed and shot Steinle after firmly pulling the trigger.
",111111113,15,non-propaganda,18.9,15.26,9.65,8,15.0,35.61,22.65,17.5,0.0,14th and 15th grade,-0.15000000000000002,0.25,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
66,66,15,"They said Garcia Zarate then threw the weapon into the bay and fled the scene.
",111111113,16,non-propaganda,6.5,6.89,5.43,1,3.2,98.55,8.67,6.5,0.0,6th and 7th grade,0.0,0.0,0,,1.0,,,,1.0,,,,,,,,,,,,,
67,67,17,"Beyond the shooting itself, perhaps the most controversial aspect of Garcia Zarate's case involves his previous criminal activity and history of deportations, and how San Francisco and federal authorities handled his custody before he ever picked up the gun and shot Steinle.
",111111113,18,non-propaganda,25.9,15.51,11.73,16,22.0,11.93,32.04,30.0,0.0,21st and 22nd grade,0.12083333333333335,0.5416666666666667,0,,3.0,,,,1.0,,,,,,,,,,,,,
68,68,18,"At the time of Steinle's death, Garcia Zarate had been convicted of nonviolent drug crimes and deported five times since the early 1990s.
",111111113,19,non-propaganda,13.8,11.49,8.21,5,9.9,65.05,17.9,14.5,0.0,9th and 10th grade,0.25,0.45,0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
69,69,20,"He faced a sixth deportation in 2015, and was in Justice Department (DOJ) custody that March after serving 46 months in prison for a felony re-entry into the US, but instead of transferring him into the custody of Immigration and Customs Enforcement (ICE) for deportation, the department transferred him to the San Francisco County Jail for prosecution of a 1995 marijuana charge.
",111111113,21,non-propaganda,33.9,12.72,10.28,14,27.5,8.55,33.83,41.0,0.0,33rd and 34th grade,-0.1,0.0,0,,2.0,,3.0,,,4.0,,,1.0,,,,,,,,,
70,70,22,"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015.
",111111113,23,non-propaganda,18.5,17.0,9.75,7,13.1,40.69,21.53,15.0,0.0,-1th and 0th grade,-0.05,0.4,0,,2.0,,,,1.0,2.0,,,,,,,,,,,,
71,71,23,"Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.
",111111113,24,propaganda,19.2,12.31,11.02,12,18.5,21.06,27.75,25.5,0.0,18th and 19th grade,-0.125,0.375,0,,2.0,,1.0,,1.0,,,,,,,,,,,,,
72,72,25,"As a result of the case, both the DOJ and the city of San Francisco have changed several policies.
",111111113,26,non-propaganda,8.1,6.85,7.07,3,7.2,77.57,13.92,11.5,0.0,6th and 7th grade,0.0,0.0,0,,2.0,,1.0,,,,,,,,,,,,,,,
73,73,26,"The DOJ announced in 2016 it would no longer release potentially deportable detainees to local jails without first allowing ICE to take custody.
",111111113,27,non-propaganda,15.3,13.76,10.27,8,11.1,56.59,23.11,13.5,0.0,13th and 14th grade,0.08333333333333333,0.4444444444444444,0,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,
74,74,27,"San Francisco, meanwhile, has adjusted its policy to notify ICE if they are releasing suspected undocumented immigrants who face charges of serious or violent felonies.
",111111113,28,non-propaganda,18.4,15.96,11.82,11,16.6,20.72,27.6,22.5,0.0,16th and 17th grade,-0.5666666666666667,0.8333333333333333,0,,2.0,,1.0,,,,,,,,,,,,,,,
75,75,29,"""This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"" ICE Director Thomas Homan said in a statement on Thursday.
",111111113,30,propaganda,20.5,10.8,8.85,8,15.8,49.83,23.62,24.0,0.0,23rd and 24th grade,-0.08333333333333333,0.3690476190476191,0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,
76,76,30,"""It is unconscionable that politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""
",111111113,31,propaganda,20.5,18.05,11.0,10,14.6,36.63,25.78,20.0,0.0,14th and 15th grade,0.0,0.0,0,,1.0,,,1.0,,,,,,,,,,,,,,
77,77,32,"But ICE has faced criticism of its own over not seeking a judicial warrant to legally obtain custody of Garcia Zarate when it discovered he had been transferred into San Francisco's custody.
",111111113,33,non-propaganda,18.1,11.96,10.65,11,14.6,47.46,26.55,20.0,0.0,10th and 11th grade,0.4,0.6,0,,2.0,,1.0,,1.0,,,,,,,,,,,,,
78,78,33,"The agency has argued that obtaining judicial warrants are unnecessary and would place too much burden on ICE officials and federal courts.
",111111113,34,non-propaganda,15.1,13.81,11.19,9,13.1,40.69,25.16,16.0,0.0,13th and 14th grade,-0.1,0.55,0,,1.0,,1.0,,,,,,,,,,,,,,,
79,79,35,"Though the agency did issue a request to the city to detain Garcia Zarate until ICE officials could pick him up, their detainer requests are not signed by a judge and are therefore not legally binding.
",111111113,36,non-propaganda,18.4,9.88,10.25,11,15.0,51.86,26.62,20.0,0.0,9th and 10th grade,-0.1,0.2,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
80,80,36,"San Francisco's policy is to ignore such requests if they are not accompanied by judge-signed warrants, and the city has cited federal court cases concluding that such detentions violate inmates' Fourth Amendment rights.
",111111113,37,non-propaganda,22.1,15.68,11.97,14,18.5,21.06,30.17,24.5,0.0,18th and 19th grade,0.0,0.3333333333333333,0,,2.0,,,,,,,,,1.0,,,,,,,,
81,81,38,"Garcia Zarate's deportation and criminal history made him an effective target for immigration hardliners, who argued that Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.
",111111113,39,propaganda,25.5,16.6,12.45,17,22.0,6.51,33.04,29.5,0.0,21st and 22nd grade,0.04999999999999999,0.5875,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
82,82,39,"President Donald Trump immediately seized on the verdict on Thursday as evidence of the perils of ""Illegal Immigration.""
",111111113,40,non-propaganda,14.8,14.96,11.55,8,13.9,27.83,24.98,14.0,0.0,13th and 14th grade,-0.5,0.5,0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,
83,83,40,"Trump frequently villainized Garcia Zarate and cited Steinle's death during his presidential campaign, using the case to bolster his argument for a border wall and aid his crusade against ""sanctuary cities.""
",111111113,41,non-propaganda,21.1,15.68,11.8,13,15.4,40.01,29.17,19.5,0.0,15th and 16th grade,0.1,0.3,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
84,84,42,"Early on Friday, Trump also falsely claimed on Twitter that Garcia Zarate had previously committed violent crimes and had illegally entered the US six times due to lax border security under the Obama administration.
",111111113,43,non-propaganda,20.9,14.17,10.9,12,18.9,20.05,27.72,23.0,0.0,18th and 19th grade,-0.31527777777777777,0.4902777777777778,0,,3.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,
85,85,44,"""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court.
",111111113,45,propaganda,16.0,10.69,9.43,8,12.2,58.96,22.63,17.5,0.0,9th and 10th grade,-0.29375,0.40625,0,,1.0,,,,2.0,,,,,,,,,,,,,
86,86,45,"His exoneration is a complete travesty of justice.
",111111113,46,propaganda,8.5,11.56,11.93,4,11.1,29.52,23.2,5.0,0.0,11th and 12th grade,0.1,0.4,0,,1.0,,,,,,,,,,,,,,,,,
87,87,46,"BUILD THE WALL!""
",111111113,47,propaganda,3.6,-0.46,0.15,0,0.9,93.81,1.2,0.5,0.0,0th and 1st grade,0.0,0.0,0,,1.0,,1.0,,,,,,,,,,,,,,,
88,88,47,"Trump tweeted.
",111111113,48,non-propaganda,12.5,7.1,11.63,1,2.9,77.91,20.8,0.0,0.0,-1th and 0th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
89,89,49,"In fact, Garcia Zarate had never been convicted of a violent crime before Steinle's shooting — his previous convictions were for nonviolent drug crimes and illegal entry.
",111111113,50,non-propaganda,17.4,13.52,10.82,10,15.0,35.61,25.61,19.5,0.0,14th and 15th grade,-0.26666666666666666,0.5666666666666667,0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
